metric,value
total_records,500.0
n_ok,476.0
n_timeout,23.0
n_capa_error,1.0
n_parse_error,0.0
n_other_error,0.0
total_runtime_ok_sec,7475.96
runtime_p50_sec,9.86
runtime_p95_sec,43.16
runtime_mean_sec,15.71
runtime_max_sec,118.79
runtime_min_sec,0.61
derivation_fully_derivable_count,98.0
derivation_partially_derivable_count,104.0
derivation_not_derivable_count,79.0
derivation_no_capa_signal_count,219.0
derivation_partition_total,500.0
samples_with_unmapped_rules,183.0
total_unmapped_rule_hits,275.0
